content.generic_counters.MulticastPacketsSent,@timestamp,content.generic_counters.LastDiscontinuityTime,content.generic_counters.MulticastPacketsReceived,content.generic_counters.ThrottledPacketsReceived,content.generic_counters.CRCErrors,content.generic_counters.PacketsReceived,content.generic_counters.LastDataTime,hostname,content.key.InterfaceName,content.generic_counters.BytesReceived,content.delta.BytesSent,content.generic_counters.BytesSent,content.generic_counters.OutputUnderruns,content.generic_counters.SecondsSinceLastClearCounters,content.generic_counters.OutputQueueDrops,content.generic_counters.SecondsSincePacketReceived,content.generic_counters.InputErrors,content.generic_counters.AvailabilityFlag,content.generic_counters.BroadcastPacketsSent,content.delta.BytesReceived,content.generic_counters.InputDrops,content.generic_counters.OutputDrops,content.generic_counters.OutputBuffersSwappedOut,content.generic_counters.Resets,content.generic_counters.InputAborts,content.generic_counters.GiantPacketsReceived,content.generic_counters.BroadcastPacketsReceived,content.delta.PacketsReceived,content.generic_counters.UnknownProtocolPacketsReceived,content.generic_counters.FramingErrorsReceived,content.generic_counters.OutputBufferFailures,content.generic_counters.CarrierTransitions,content.generic_counters.RuntPacketsReceived,content.delta.PacketsSent,content.generic_counters.InputQueueDrops,content.generic_counters.InputOverruns,content.generic_counters.PacketsSent,content.generic_counters.SecondsSincePacketSent,content.generic_counters.OutputErrors,content.generic_counters.InputIgnoredPackets,content.generic_counters.Applique,content.generic_counters.ParityPacketsReceived
870,2016-03-17T13:03:25.391Z,1458064748,0,0,0,7972264857,1458219799,s0-r7,GigabitEthernet0/0/0/4,12054055096924,17742.0,90279298,0,0,0,0,0,0,1,2376301578.0,0,0,0,0,0,0,0,1571629.0,0,0,0,0,0,31.0,0,0,159449,0,0,0,0,0
3456,2016-03-17T13:03:25.391Z,1458064748,4320,0,0,12027,1458219799,s0-r7,GigabitEthernet0/0/0/3,3417450,329.0,974755,0,0,0,0,0,0,1,127.0,0,0,0,0,0,0,20,2.0,0,0,0,0,0,3.0,0,0,8906,0,0,0,0,0
3460,2016-03-17T13:03:25.391Z,1458064748,4322,0,0,12033,1458219799,s0-r7,GigabitEthernet0/0/0/2,3417907,329.0,21068637,0,0,0,0,0,0,1,127.0,0,0,0,0,0,0,25,2.0,0,0,0,0,0,3.0,0,0,22207,0,0,0,0,0
17151,2016-03-17T13:03:54.722Z,1457449290,14901,0,0,322020,1458219828,s0-r3,GigabitEthernet0/0/0/3,27886733,9804.0,20939954,0,0,0,2,0,0,2,9744.0,0,0,0,0,0,0,882,132.0,0,0,0,0,0,132.0,0,0,238220,2,0,0,0,0
493335,2016-03-17T13:03:54.722Z,1457449290,90010,0,0,1585620,1458219828,s0-r3,GigabitEthernet0/0/0/2,460183564,32572.0,463609926,0,0,0,2,0,0,2,21204.0,0,0,0,0,0,0,887,209.0,0,0,0,0,0,221.0,0,0,1577953,2,0,0,0,0
272354,2016-03-17T13:03:54.722Z,1457449290,305490,0,0,595207,1458219828,s0-r3,GigabitEthernet0/0/0/1,371193421,11490.0,465962688,0,0,0,2,0,0,2,20960.0,0,0,0,0,0,0,885,85.0,0,0,0,0,0,77.0,0,0,1170127,2,0,0,0,0
1231,2016-03-17T13:03:55.315Z,1458146084,2967,0,0,7982,1458219831,s0-r2,GigabitEthernet0/0/0/5,2929302,0.0,424520,0,0,0,23,0,0,2,191.0,0,0,0,0,0,0,2,1.0,0,0,0,0,0,0.0,0,0,4865,33,0,0,0,0
1651,2016-03-17T13:03:55.316Z,1458146084,2965,0,0,193950,1458219831,s0-r2,GigabitEthernet0/0/0/1,18427601,10026.0,19357443,0,0,0,0,0,0,2,9942.0,0,0,0,0,0,0,2,135.0,0,0,0,0,0,135.0,0,0,258582,0,0,0,0,0
2,2016-03-17T13:03:55.340Z,1458064748,1739,0,0,3122,1458219829,s0-r7,GigabitEthernet0/0/0/6,2469650,0.0,182,0,0,0,57693,0,0,1,0.0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0.0,0,0,3,155069,0,0,0,0
3462,2016-03-17T13:03:55.340Z,1458064748,4317,0,0,11777,1458219829,s0-r7,GigabitEthernet0/0/0/1,3400744,196.0,960752,0,0,0,28,0,0,1,191.0,0,0,0,0,0,0,20,1.0,0,0,0,0,0,1.0,0,0,8703,0,0,0,0,0
