content.generic_counters.MulticastPacketsSent,@timestamp,content.generic_counters.LastDiscontinuityTime,content.generic_counters.MulticastPacketsReceived,content.generic_counters.ThrottledPacketsReceived,content.generic_counters.CRCErrors,content.generic_counters.PacketsReceived,content.generic_counters.LastDataTime,hostname,content.key.InterfaceName,content.generic_counters.BytesReceived,content.delta.BytesSent,content.generic_counters.BytesSent,content.generic_counters.OutputUnderruns,content.generic_counters.SecondsSinceLastClearCounters,content.generic_counters.OutputQueueDrops,content.generic_counters.SecondsSincePacketReceived,content.generic_counters.InputErrors,content.generic_counters.AvailabilityFlag,content.generic_counters.BroadcastPacketsSent,content.delta.BytesReceived,content.generic_counters.InputDrops,content.generic_counters.OutputDrops,content.generic_counters.OutputBuffersSwappedOut,content.generic_counters.Resets,content.generic_counters.InputAborts,content.generic_counters.GiantPacketsReceived,content.generic_counters.BroadcastPacketsReceived,content.delta.PacketsReceived,content.generic_counters.UnknownProtocolPacketsReceived,content.generic_counters.FramingErrorsReceived,content.generic_counters.OutputBufferFailures,content.generic_counters.CarrierTransitions,content.generic_counters.RuntPacketsReceived,content.delta.PacketsSent,content.generic_counters.InputQueueDrops,content.generic_counters.InputOverruns,content.generic_counters.PacketsSent,content.generic_counters.SecondsSincePacketSent,content.generic_counters.OutputErrors,content.generic_counters.InputIgnoredPackets,content.generic_counters.Applique,content.generic_counters.ParityPacketsReceived
286,2016-03-17T19:42:15.907Z,1458194456,838,0,0,4804,1458243734,s0-r5,GigabitEthernet0/0/0/3,466339,0.0,159963,0,0,0,3,0,0,2,1925.0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0.0,0,0,2164,48,0,0,0,0
286,2016-03-17T19:42:15.908Z,1458194456,840,0,0,5974,1458243734,s0-r5,GigabitEthernet0/0/0/2,494443,186.0,329412,0,0,0,8,0,0,2,162.0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,3.0,0,0,5140,8,0,0,0,0
285,2016-03-17T19:42:15.908Z,1458194456,840,0,0,5982,1458243734,s0-r5,GigabitEthernet0/0/0/1,494987,486.0,329584,0,0,0,3,0,0,2,340.0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,7.0,0,0,5143,3,0,0,0,0
0,2016-03-17T19:42:02.838Z,1458063695,0,0,0,0,1458243719,s0-r1,tunnel-te102,0,0.0,0,0,0,0,4294967295,0,2147476720,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,4294967295,0,0,0,0
63881,2016-03-17T19:42:02.839Z,1458063706,79206,0,0,297289,1458243719,s0-r1,GigabitEthernet0/0/0/3,106814840,4922.0,35358434,0,0,0,4,0,0,1,14498.0,0,0,0,0,0,0,19,17.0,0,0,0,0,0,8.0,0,0,63901,4,0,0,0,0
4017,2016-03-17T19:42:02.839Z,1458063706,4749,0,0,380181,1458243719,s0-r1,GigabitEthernet0/0/0/1,30549815,428.0,28287621,0,0,0,4,0,0,2,402.0,0,0,0,0,0,0,19,7.0,0,0,0,0,0,7.0,0,0,377306,4,0,0,0,0
284,2016-03-17T19:41:45.910Z,1458194456,837,0,0,2947,1458243704,s0-r5,GigabitEthernet0/0/0/4,327039,133.0,159568,0,0,0,18,0,0,2,73.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2.0,0,0,2160,18,0,0,0,0
286,2016-03-17T19:41:45.910Z,1458194456,837,0,0,4780,1458243704,s0-r5,GigabitEthernet0/0/0/3,464414,133.0,159963,0,0,0,3,0,0,2,2749.0,0,0,0,0,0,0,0,37.0,0,0,0,0,0,2.0,0,0,2164,18,0,0,0,0
0,2016-03-17T19:41:32.795Z,1458063695,0,0,0,0,1458243689,s0-r1,tunnel-te102,0,0.0,0,0,0,0,4294967295,0,2147476720,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,4294967295,0,0,0,0
17670,2016-03-17T19:42:25.075Z,1457449290,9083,0,0,26983,1458243738,s0-r3,GigabitEthernet0/0/0/5,5500460,264.0,6803216,0,0,0,1,0,0,66806,54.0,0,0,0,0,0,0,874,1.0,0,0,0,0,0,2.0,0,0,98615,1,0,0,0,0
2,2016-03-17T19:42:25.470Z,1458146084,1757,0,0,3144,1458243742,s0-r2,GigabitEthernet0/0/0/7,2489117,0.0,182,0,0,0,2243,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0,0,3,97645,0,0,0,0
2,2016-03-17T19:42:25.471Z,1458146084,1757,0,0,3144,1458243742,s0-r2,GigabitEthernet0/0/0/6,2489117,0.0,182,0,0,0,2243,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0,0,3,97645,0,0,0,0
613,2016-03-17T19:42:25.471Z,1458146084,3384,0,0,276451,1458243742,s0-r2,GigabitEthernet0/0/0/4,72586362,1121709658.0,7465303408431,0,0,0,0,0,0,2,17891.0,0,0,0,0,0,0,2,31.0,0,0,0,0,0,741880.0,0,0,4937472258,0,0,0,0,0
3989,2016-03-17T19:42:25.483Z,1458064748,4737,0,0,13442,1458243739,s0-r7,GigabitEthernet0/0/0/3,3583985,269.0,1126512,0,0,0,8,0,0,1,363.0,0,0,0,0,0,0,20,3.0,0,0,0,0,0,2.0,0,0,10296,18,0,0,0,0
46,2016-03-17T19:42:28.375Z,1458241850,0,0,0,88144009,1458243747,s0-r4,GigabitEthernet0/0/0/5,133273525254,18056.0,1022878,0,0,0,0,0,0,1,2359471506.0,0,0,0,0,0,0,0,1560498.0,0,0,0,0,0,33.0,0,0,1917,0,0,0,0,0
1327,2016-03-17T19:42:28.376Z,1458241850,252,0,0,675,1458243747,s0-r4,GigabitEthernet0/0/0/4,365103,16448.0,1055401,0,0,0,0,0,0,1,5074.0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,21.0,0,0,1328,0,0,0,0,0
2,2016-03-17T19:43:25.409Z,1458146084,1757,0,0,3144,1458243802,s0-r2,GigabitEthernet0/0/0/7,2489117,0.0,182,0,0,0,2303,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0,0,3,97705,0,0,0,0
2,2016-03-17T19:43:25.409Z,1458146084,1757,0,0,3144,1458243802,s0-r2,GigabitEthernet0/0/0/6,2489117,0.0,182,0,0,0,2303,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0,0,3,97705,0,0,0,0
1630,2016-03-17T19:43:25.409Z,1458146084,3384,0,0,9588,1458243802,s0-r2,GigabitEthernet0/0/0/5,3098348,240.0,562436,0,0,0,7,0,0,2,439.0,0,0,0,0,0,0,2,5.0,0,0,0,0,0,4.0,0,0,6446,7,0,0,0,0
3990,2016-03-17T19:43:25.499Z,1458064748,4738,0,0,13445,1458243799,s0-r7,GigabitEthernet0/0/0/3,3584303,269.0,1126841,0,0,0,8,0,0,1,245.0,0,0,0,0,0,0,20,2.0,0,0,0,0,0,2.0,0,0,10299,18,0,0,0,0
703,2016-03-17T19:43:28.323Z,1458241850,936,0,0,1525,1458243807,s0-r4,GigabitEthernet0/0/0/0,1108335,5475.0,389907,0,0,0,0,0,0,2,16629.0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,14.0,0,0,831,0,0,0,0,0
47,2016-03-17T19:43:28.323Z,1458241850,0,0,0,91302453,1458243807,s0-r4,GigabitEthernet0/0/0/5,138049089642,17938.0,1058558,0,0,0,0,0,0,1,2380383978.0,0,0,0,0,0,0,0,1574329.0,0,0,0,0,0,32.0,0,0,1980,0,0,0,0,0
17678,2016-03-17T19:42:54.893Z,1457449288,2084,0,0,574117,1458243768,s0-r3,GigabitEthernet0/0/0/0,135986083,1124455110.0,13600912084674,0,0,0,0,0,0,10,24784.0,0,0,0,0,0,0,884,126.0,0,0,0,0,0,743750.0,0,0,8995773429,0,0,0,0,0
17670,2016-03-17T19:42:54.894Z,1457449290,9084,0,0,26985,1458243768,s0-r3,GigabitEthernet0/0/0/5,5500729,60.0,6803276,0,0,0,0,0,0,66806,269.0,0,0,0,0,0,0,874,2.0,0,0,0,0,0,1.0,0,0,98616,0,0,0,0,0
614,2016-03-17T19:42:55.401Z,1458146084,3384,0,0,276482,1458243772,s0-r2,GigabitEthernet0/0/0/4,72604135,1123709956.0,7466427118387,0,0,0,0,0,0,2,17773.0,0,0,0,0,0,0,2,31.0,0,0,0,0,0,743220.0,0,0,4938215478,0,0,0,0,0
2181,2016-03-17T19:42:55.401Z,1458146084,3386,0,0,14987,1458243772,s0-r2,GigabitEthernet0/0/0/2,3435689,248.0,971084,0,0,0,12,0,0,2,412.0,0,0,0,0,0,0,2,5.0,0,0,0,0,0,4.0,0,0,11808,12,0,0,0,0
701,2016-03-17T19:42:58.327Z,1458241850,926,0,0,11391,1458243777,s0-r4,GigabitEthernet0/0/0/3,1832283,17612.0,1126970,0,0,0,0,0,0,2,28784.0,0,0,0,0,0,0,0,170.0,0,0,0,0,0,178.0,0,0,10766,0,0,0,0,0
4018,2016-03-17T19:43:32.838Z,1458063706,4752,0,0,19588,1458243809,s0-r1,GigabitEthernet0/0/0/2,3929191,0.0,1481254,0,0,0,13,0,0,2,314.0,0,0,0,0,0,0,19,2.0,0,0,0,0,0,0.0,0,0,16426,52,0,0,0,0
4428,2016-03-17T19:43:33.801Z,1457449308,0,0,0,9514263,1458243805,s0-r6,GigabitEthernet0/0/0/0,13710667513,1127756952.0,13651727969136,0,0,0,0,0,0,1,17700.0,0,0,0,0,0,0,1,30.0,0,0,0,0,0,745871.0,0,0,9028943003,0,0,0,0,0
17688,2016-03-17T19:43:33.802Z,1457449308,15316,0,0,60792,1458243805,s0-r6,GigabitEthernet0/0/0/4,7659401,439.0,7742869,0,0,0,7,0,0,2,384.0,0,0,0,0,0,0,882,5.0,0,0,0,0,0,5.0,0,0,78126,13,0,0,0,0
17689,2016-03-17T19:43:33.802Z,1457449308,2084,0,0,34438,1458243805,s0-r6,GigabitEthernet0/0/0/2,5186849,73.0,4852860,0,0,0,7,0,0,1,127.0,0,0,0,0,0,0,884,2.0,0,0,0,0,0,1.0,0,0,44618,12,0,0,0,0
4018,2016-03-17T19:42:32.785Z,1458063706,4750,0,0,380182,1458243749,s0-r1,GigabitEthernet0/0/0/1,30550011,196.0,28287817,0,0,0,17,0,0,2,196.0,0,0,0,0,0,0,19,1.0,0,0,0,0,0,1.0,0,0,377307,6,0,0,0,0
17675,2016-03-17T19:42:33.799Z,1457449308,9083,0,0,40769,1458243745,s0-r6,GigabitEthernet0/0/0/5,25606484,382.0,42120279,0,0,0,7,0,0,68496,54.0,0,0,0,0,0,0,882,1.0,0,0,0,0,0,3.0,0,0,574772,7,0,0,0,0
17687,2016-03-17T19:42:33.800Z,1457449308,2084,0,0,34435,1458243745,s0-r6,GigabitEthernet0/0/0/2,5186604,73.0,4852478,0,0,0,7,0,0,1,127.0,0,0,0,0,0,0,884,2.0,0,0,0,0,0,1.0,0,0,44615,7,0,0,0,0
4025,2016-03-17T19:43:02.791Z,1458063706,1757,0,0,21696,1458243779,s0-r1,GigabitEthernet0/0/0/5,3628649,258.0,1780083,0,0,0,27,0,0,2,54.0,0,0,0,0,0,0,21,1.0,0,0,0,0,0,2.0,0,0,21562,22,0,0,0,0
4018,2016-03-17T19:43:02.791Z,1458063706,4750,0,0,380186,1458243779,s0-r1,GigabitEthernet0/0/0/1,30550315,180.0,28287997,0,0,0,6,0,0,2,304.0,0,0,0,0,0,0,19,4.0,0,0,0,0,0,3.0,0,0,377310,6,0,0,0,0
4428,2016-03-17T19:43:03.833Z,1457449308,0,0,0,9514233,1458243775,s0-r6,GigabitEthernet0/0/0/0,13710649813,1122818802.0,13650600212184,0,0,0,0,0,0,1,17742.0,0,0,0,0,0,0,1,31.0,0,0,0,0,0,742606.0,0,0,9028197132,0,0,0,0,0
283,2016-03-17T19:43:15.918Z,1458194456,836,0,0,2446062944,1458243794,s0-r5,GigabitEthernet0/0/0/0,3698289718474,24868.0,37275544,0,0,0,4,0,0,2,1120418231.0,0,0,0,0,0,0,0,741081.0,0,0,0,0,0,126.0,0,0,160169,4,0,0,0,0
286,2016-03-17T19:43:15.918Z,1458194456,0,0,0,50666,1458243794,s0-r5,GigabitEthernet0/0/0/5,29092312,1120413210.0,3697479375976,0,0,0,4,0,0,2,17742.0,0,0,0,0,0,0,0,31.0,0,0,0,0,0,741015.0,0,0,2445424553,4,0,0,0,0
286,2016-03-17T19:42:45.979Z,1458194456,0,0,0,50635,1458243764,s0-r5,GigabitEthernet0/0/0/5,29074570,1125514698.0,3696358962766,0,0,0,3,0,0,2,17742.0,0,0,0,0,0,0,0,31.0,0,0,0,0,0,744389.0,0,0,2444683538,3,0,0,0,0
287,2016-03-17T19:43:45.917Z,1458194456,842,0,0,5987,1458243824,s0-r5,GigabitEthernet0/0/0/2,495533,308.0,330140,0,0,0,3,0,0,2,474.0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,5.0,0,0,5151,3,0,0,0,0
17684,2016-03-17T19:44:24.897Z,1457449290,15320,0,0,421544,1458243857,s0-r3,GigabitEthernet0/0/0/3,35299575,9542.0,28599880,0,0,0,3,0,0,2,5975.0,0,0,0,0,0,0,882,79.0,0,0,0,0,0,127.0,0,0,340707,3,0,0,0,0
2188,2016-03-17T19:44:25.406Z,1458146084,3387,0,0,15000,1458243862,s0-r2,GigabitEthernet0/0/0/0,3436560,382.0,972740,0,0,0,7,0,0,2,162.0,0,0,0,0,0,0,2,3.0,0,0,0,0,0,4.0,0,0,11826,7,0,0,0,0
2186,2016-03-17T19:44:25.407Z,1458146084,3382,0,0,296458,1458243862,s0-r2,GigabitEthernet0/0/0/1,26056837,5098.0,26797505,0,0,0,0,0,0,2,7715.0,0,0,0,0,0,0,2,103.0,0,0,0,0,0,67.0,0,0,358077,0,0,0,0,0
2,2016-03-17T19:44:25.559Z,1458064748,1757,0,0,3147,1458243859,s0-r7,GigabitEthernet0/0/0/7,2489243,0.0,182,0,0,0,2359,0,0,1,0.0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0.0,0,0,3,179099,0,0,0,0
3996,2016-03-17T19:44:25.559Z,1458064748,4733,0,0,13155,1458243859,s0-r7,GigabitEthernet0/0/0/1,3564602,269.0,1110418,0,0,0,8,0,0,1,172.0,0,0,0,0,0,0,20,2.0,0,0,0,0,0,2.0,0,0,10060,18,0,0,0,0
48,2016-03-17T19:44:28.327Z,1458241850,0,0,0,94451607,1458243867,s0-r4,GigabitEthernet0/0/0/5,142810607550,17938.0,1094238,0,0,0,0,0,0,1,2343637842.0,0,0,0,0,0,0,0,1550026.0,0,0,0,0,0,32.0,0,0,2043,0,0,0,0,0
1393,2016-03-17T19:44:28.327Z,1458241850,278,0,0,4221,1458243867,s0-r4,GigabitEthernet0/0/0/1,668589,21262.0,1428104,0,0,0,0,0,0,2,11575.0,0,0,0,0,0,0,0,77.0,0,0,0,0,0,87.0,0,0,5641,0,0,0,0,0
17682,2016-03-17T19:45:25.081Z,1457449288,2084,0,0,574709,1458243918,s0-r3,GigabitEthernet0/0/0/0,136106928,1155810445.0,13606452183767,0,0,0,1,0,0,10,25679.0,0,0,0,0,0,0,884,130.0,0,0,0,0,0,764499.0,0,0,8999437834,1,0,0,0,0
